,shop_id,shop_name,company_id,company_name,location,county_name,country_name,depot_id,shop_created_date,industry,subcription_id,subscription_start_date,subscription_end_date,duration_months,status
,1853,Ilala agrovet,826,Ilala agrovet,POINT(0.2262216 34.7590597),Kakamega,Kenya,,05/12/2023,Agribusiness,826,05/12/2023,05/01/2024,1,expired
,1859,Rangers Kilimo Center Agrovet,829,Rangers Agrovet Kiritiri,POINT(37.6478093 -0.6889047),Embu,Kenya,,05/12/2023,Agribusiness,827,05/12/2023,25/02/2025,14,active
,1861,Global Animal Health Vet,830,Global Animal Health Vet Drug Centre,POINT(0.7770411 32.9904158),Wakiso,Uganda,,05/12/2023,Agribusiness,828,24/01/2024,24/01/2025,12,expired
,1867,BafabaBafana Wines,833,BafabaBafana Wines,POINT(-0.82571 34.40163333333333),Homa Bay,Kenya,,06/12/2023,Liquor,1029,08/01/2024,15/03/2025,14,active
,1869,Shop Kazuri,834,Shop Kazuri,POINT(-1.5263481 37.2318269),Machakos,Kenya,,06/12/2023,Consumer Goods,831,06/12/2023,06/01/2024,1,expired
,1871,Muhui's Agrovet- Kinamba,835,Muhui's Agrovet- Kinamba,POINT(-0.7197758 36.4741353),Nakuru,Kenya,,06/12/2023,Agribusiness,832,06/12/2023,06/01/2024,1,expired
,1877,GLS AGROVET,838,GLS AGROVET,POINT(0.2878165 32.569038),Gulu,Uganda,,06/12/2023,Agribusiness,833,06/12/2023,06/01/2025,13,expired
,1883,KORANDO HARDWARE-OTONGLO,841,KORANDO HARDWARE-OTONGLO,POINT(34.70801224 -0.07518097),Kisumu,Kenya,,07/12/2023,Hardware,1348,05/02/2024,05/03/2024,1,expired
,1891,Fine Farms Ventures,845,Fine Farms Ventures,POINT(-0.161665 35.0732441),Kisumu,Kenya,,07/12/2023,Agribusiness,836,07/12/2023,07/01/2024,1,expired
,1902,Nyandarua Hybrid,891,Holef,,Nyandarua,Kenya,4976,07/12/2023,Agribusiness,1803,01/10/2024,01/11/2024,1,expired
